Date,Open,High,Low,Close,Adj Close,Volume
2015-03-19,20.070000,21.100000,20.049999,20.799999,12.065626,801700
2015-03-20,21.200001,21.750000,21.000000,21.150000,12.268659,524100
2015-03-23,21.150000,21.750000,21.150000,21.309999,12.361470,305500
2015-03-24,21.299999,21.700001,20.600000,20.760000,12.042424,350700
2015-03-25,21.309999,21.309999,20.760000,20.900000,12.123636,207900
2015-03-26,20.650000,21.070000,20.620001,21.049999,12.210651,194100
2015-03-27,20.740000,20.884001,20.500000,20.650000,11.978619,117700
2015-03-30,20.639999,21.075001,19.770000,20.170000,11.700183,243600
2015-03-31,20.059999,20.775000,20.000000,20.660000,11.984417,130200
2015-04-01,20.629999,20.820000,20.320000,20.330000,11.792992,111400
2015-04-02,20.299999,20.700001,20.299999,20.500000,11.891605,111500
2015-04-06,20.410000,20.590000,20.309999,20.549999,11.920610,97800
2015-04-07,20.510000,20.750000,20.450001,20.549999,11.920610,103100
2015-04-08,20.740000,21.000000,20.549999,20.930000,12.141039,112600
2015-04-09,20.950001,21.250000,20.860001,21.250000,12.326667,123300
2015-04-10,21.110001,22.450001,21.110001,21.709999,12.593499,218800
2015-04-13,21.980000,22.330000,21.510000,21.590000,12.523892,284300
2015-04-14,21.500000,21.969999,21.309999,21.860001,12.680509,232900
2015-04-15,21.920000,21.920000,21.410000,21.420000,12.425275,184900
2015-04-16,21.389999,21.656000,21.340000,21.400000,12.413675,131900
2015-04-17,21.400000,21.600000,21.200001,21.430000,12.431079,146800
2015-04-20,22.000000,22.000000,21.200001,21.350000,12.384670,126500
2015-04-21,21.750000,21.750000,21.209999,21.500000,12.471684,82000
2015-04-22,21.500000,21.570000,21.400000,21.500000,12.471684,78200
2015-04-23,21.590000,21.799999,21.379999,21.459999,12.448482,101300
2015-04-24,21.600000,21.600000,21.389999,21.490000,12.465882,71100
2015-04-27,21.500000,21.740000,21.400000,21.559999,12.506491,100800
2015-04-28,21.480000,21.580000,21.330000,21.490000,12.465882,82300
2015-04-29,21.500000,21.549999,20.889999,20.930000,12.141039,120100
2015-04-30,20.900000,21.158001,20.750000,20.850000,12.094633,73300
2015-05-01,20.799999,21.000000,20.770000,20.780001,12.054030,69400
2015-05-04,20.770000,20.930000,20.750000,20.930000,12.141039,33200
2015-05-05,20.830000,21.750000,20.830000,21.250000,12.326667,66000
2015-05-06,21.250000,21.500000,20.799999,20.990000,12.175845,49600
2015-05-07,20.809999,21.250000,20.799999,21.180000,12.286061,77400
2015-05-08,21.100000,21.249001,20.830000,21.070000,12.222252,51700
2015-05-11,21.129999,21.490000,21.100000,21.430000,12.431079,126800
2015-05-12,21.480000,21.490000,21.010000,21.200001,12.297661,93900
2015-05-13,21.290001,21.486000,20.850000,20.889999,12.117834,77000
2015-05-14,21.340000,21.490000,21.010000,21.440001,12.436879,119200
2015-05-15,21.389999,21.840000,21.299999,21.650000,12.558697,343200
2015-05-18,21.549999,21.700001,21.260000,21.510000,12.477487,280500
2015-05-19,21.850000,21.850000,21.340000,21.340000,12.378872,191400
