Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,3.400000,3.460000,3.380000,3.410000,2.708015,4349300
2010-01-05,3.510000,3.560000,3.480000,3.540000,2.811254,8686100
2010-01-06,3.530000,3.630000,3.450000,3.570000,2.835078,6215600
2010-01-07,3.670000,3.750000,3.660000,3.740000,2.970081,8460100
2010-01-08,3.720000,3.730000,3.680000,3.720000,2.954199,4412900
2010-01-11,3.730000,3.750000,3.630000,3.670000,2.914492,5980400
2010-01-12,3.610000,3.660000,3.560000,3.620000,2.874785,5288400
2010-01-13,3.670000,3.770000,3.620000,3.760000,2.985964,4688700
2010-01-14,3.780000,3.800000,3.750000,3.800000,3.017730,2990100
2010-01-15,3.810000,3.830000,3.700000,3.750000,2.978023,3219400
2010-01-19,3.790000,3.900000,3.770000,3.870000,3.073320,4507500
2010-01-20,3.740000,3.790000,3.690000,3.720000,2.954199,8923000
2010-01-21,3.650000,3.650000,3.430000,3.430000,2.723898,8999600
2010-01-22,3.410000,3.530000,3.350000,3.400000,2.700074,5432100
2010-01-25,3.530000,3.550000,3.450000,3.500000,2.779488,4243900
2010-01-26,3.370000,3.430000,3.340000,3.390000,2.692133,7561700
2010-01-27,3.360000,3.390000,3.310000,3.360000,2.668309,4784000
2010-01-28,3.400000,3.420000,3.300000,3.310000,2.628601,4162300
2010-01-29,3.330000,3.360000,3.260000,3.260000,2.588894,3687800
2010-02-01,3.350000,3.400000,3.340000,3.380000,2.684191,3574500
2010-02-02,3.440000,3.530000,3.430000,3.530000,2.803312,3244700
2010-02-03,3.550000,3.590000,3.500000,3.550000,2.819195,3011000
2010-02-04,3.340000,3.350000,3.240000,3.250000,2.580953,8213500
2010-02-05,3.160000,3.190000,3.000000,3.150000,2.501539,12133700
2010-02-08,3.000000,3.010000,2.920000,2.920000,2.318887,9382800
2010-02-09,3.090000,3.130000,3.010000,3.100000,2.461832,5078400
2010-02-10,3.150000,3.190000,3.090000,3.120000,2.477715,2908200
2010-02-11,3.020000,3.120000,2.980000,3.100000,2.461832,4615200
2010-02-12,2.930000,3.030000,2.880000,3.010000,2.390360,8879500
2010-02-16,3.070000,3.170000,3.050000,3.170000,2.517422,3999300
2010-02-17,3.250000,3.260000,3.150000,3.210000,2.549187,4767400
2010-02-18,3.150000,3.200000,3.150000,3.200000,2.541246,2830100
2010-02-19,3.090000,3.170000,3.080000,3.160000,2.509480,4375400
2010-02-22,3.240000,3.260000,3.220000,3.250000,2.580953,2675800
2010-02-23,3.280000,3.290000,3.180000,3.200000,2.541246,3812100
2010-02-24,3.260000,3.370000,3.240000,3.340000,2.652426,4900100
2010-02-25,3.310000,3.420000,3.290000,3.420000,2.715957,5799800
2010-02-26,3.190000,3.250000,3.180000,3.250000,2.580953,5171400
2010-03-01,3.020000,3.140000,3.010000,3.080000,2.445950,13675800
2010-03-02,3.100000,3.170000,3.050000,3.130000,2.485656,11496800
2010-03-03,3.210000,3.240000,3.180000,3.200000,2.541246,4498400
2010-03-04,3.280000,3.320000,3.240000,3.310000,2.628601,5819700
2010-03-05,3.270000,3.340000,3.260000,3.340000,2.652426,7116000
2010-03-08,3.290000,3.310000,3.220000,3.220000,2.557129,7619300
2010-03-09,3.200000,3.290000,3.190000,3.230000,2.565071,4391900
2010-03-10,3.280000,3.350000,3.270000,3.320000,2.636543,4736900
2010-03-11,3.380000,3.460000,3.370000,3.450000,2.739781,7040900
2010-03-12,3.570000,3.600000,3.520000,3.540000,2.811254,5813700
2010-03-15,3.500000,3.520000,3.450000,3.510000,2.787430,3302800
2010-03-16,3.500000,3.570000,3.490000,3.570000,2.835078,5045300
2010-03-17,3.580000,3.590000,3.530000,3.530000,2.803312,4421000
2010-03-18,3.490000,3.490000,3.410000,3.410000,2.708015,4074700
2010-03-19,3.720000,3.750000,3.640000,3.720000,2.954199,12868700
2010-03-22,3.580000,3.740000,3.570000,3.740000,2.970081,9523300
2010-03-23,3.740000,3.850000,3.720000,3.850000,3.057437,7928100
2010-03-24,3.850000,3.890000,3.830000,3.880000,3.081261,7181900
2010-03-25,3.910000,3.920000,3.810000,3.850000,3.057437,8094100
2010-03-26,3.860000,3.900000,3.800000,3.820000,3.033612,5718900
2010-03-29,3.820000,3.830000,3.780000,3.790000,3.009788,4185400
2010-03-30,3.780000,3.790000,3.710000,3.760000,2.985964,4302300
2010-03-31,3.770000,3.850000,3.770000,3.850000,3.057437,4281400
2010-04-01,3.930000,3.940000,3.910000,3.920000,3.113027,3483800
2010-04-05,3.960000,4.050000,3.950000,4.040000,3.208323,3532500
2010-04-06,3.920000,4.090000,3.910000,4.060000,3.224206,10037600
2010-04-07,3.960000,4.020000,3.950000,3.960000,3.144792,7308200
2010-04-08,3.870000,3.950000,3.840000,3.920000,3.113027,7957900
2010-04-09,3.930000,4.000000,3.930000,3.980000,3.160675,4984600
2010-04-12,4.000000,4.050000,3.990000,4.000000,3.176558,4445100
2010-04-13,3.980000,3.990000,3.930000,3.970000,3.152734,4294500
2010-04-14,4.020000,4.070000,4.000000,4.070000,3.232147,8243600
2010-04-15,4.050000,4.130000,4.040000,4.130000,3.279796,7346200
2010-04-16,4.170000,4.170000,4.000000,4.020000,3.192441,10178900
2010-04-19,3.990000,4.060000,3.980000,4.040000,3.208323,5706100
2010-04-20,4.160000,4.250000,4.130000,4.240000,3.367151,8417400
2010-04-21,4.180000,4.230000,4.140000,4.170000,3.311562,7427700
2010-04-22,4.100000,4.180000,4.050000,4.180000,3.319502,4913600
2010-04-23,4.180000,4.320000,4.180000,4.290000,3.406858,5819800
2010-04-26,4.380000,4.420000,4.360000,4.370000,3.470389,6217400
2010-04-27,4.280000,4.360000,4.160000,4.190000,3.327444,11597200
2010-04-28,4.200000,4.200000,4.080000,4.130000,3.279796,7413900
2010-04-29,4.090000,4.240000,4.080000,4.220000,3.351268,8043400
2010-04-30,4.150000,4.150000,4.030000,4.070000,3.232147,7138700
