date,goldman sachs
2010-01-01,20
2010-01-02,25
2010-01-03,25
2010-01-04,49
2010-01-05,39
2010-01-06,34
2010-01-07,53
2010-01-08,48
2010-01-09,31
2010-01-10,36
2010-01-11,63
2010-01-12,62
2010-01-13,60
2010-01-14,49
2010-01-15,37
2010-01-16,52
2010-01-17,20
2010-01-18,27
2010-01-19,43
2010-01-20,56
2010-01-21,91
2010-01-22,100
2010-01-23,46
2010-01-24,35
2010-01-25,63
2010-01-26,71
2010-01-27,77
2010-01-28,35
2010-01-29,56
2010-01-30,34
2010-01-31,11
2010-02-01,74
2010-02-02,60
2010-02-03,84
2010-02-04,65
2010-02-05,68
2010-02-06,75
2010-02-07,89
2010-02-08,54
2010-02-09,52
2010-02-10,100
2010-02-11,28
2010-02-12,66
2010-02-13,84
2010-02-14,50
2010-02-15,88
2010-02-16,93
2010-02-17,66
2010-02-18,75
2010-02-19,61
2010-02-20,24
2010-02-21,71
2010-02-22,61
2010-02-23,58
2010-02-24,91
2010-02-25,80
2010-02-26,55
2010-02-27,29
2010-02-28,30
2010-03-01,74
2010-03-02,73
2010-03-03,77
2010-03-04,44
2010-03-05,100
2010-03-06,65
2010-03-07,42
2010-03-08,56
2010-03-09,51
2010-03-10,66
2010-03-11,55
2010-03-12,86
2010-03-13,34
2010-03-14,17
2010-03-15,63
2010-03-16,76
2010-03-17,49
2010-03-18,54
2010-03-19,35
2010-03-20,37
2010-03-21,29
2010-03-22,66
2010-03-23,42
2010-03-24,51
2010-03-25,74
2010-03-26,63
2010-03-27,12
2010-03-28,29
2010-03-29,39
2010-03-30,70
2010-03-31,45
2010-04-01,13
2010-04-02,8
2010-04-03,6
2010-04-04,2
2010-04-05,8
2010-04-06,5
2010-04-07,12
2010-04-08,12
2010-04-09,11
2010-04-10,1
2010-04-11,2
2010-04-12,9
2010-04-13,8
2010-04-14,8
2010-04-15,9
2010-04-16,98
2010-04-17,55
2010-04-18,35
2010-04-19,67
2010-04-20,85
2010-04-21,100
2010-04-22,47
2010-04-23,29
2010-04-24,18
2010-04-25,18
2010-04-26,34
2010-04-27,95
2010-04-28,70
2010-04-29,24
2010-04-30,41
2010-05-01,70
2010-05-02,95
2010-05-03,100
2010-05-04,94
2010-05-05,58
2010-05-06,69
2010-05-07,93
2010-05-08,35
2010-05-09,24
2010-05-10,63
2010-05-11,62
2010-05-12,55
2010-05-13,49
2010-05-14,55
2010-05-15,32
2010-05-16,16
2010-05-17,43
2010-05-18,37
2010-05-19,58
2010-05-20,42
2010-05-21,22
2010-05-22,32
2010-05-23,28
2010-05-24,34
2010-05-25,33
2010-05-26,47
2010-05-27,21
2010-05-28,44
2010-05-29,21
2010-05-30,9
2010-05-31,19
2010-06-01,55
2010-06-02,100
2010-06-03,51
2010-06-04,94
2010-06-05,70
2010-06-06,19
2010-06-07,68
2010-06-08,83
2010-06-09,84
2010-06-10,79
2010-06-11,75
2010-06-12,39
2010-06-13,13
2010-06-14,60
2010-06-15,72
2010-06-16,48
2010-06-17,53
2010-06-18,52
2010-06-19,27
2010-06-20,14
2010-06-21,61
2010-06-22,54
2010-06-23,55
2010-06-24,44
2010-06-25,84
2010-06-26,32
2010-06-27,53
2010-06-28,47
2010-06-29,38
2010-06-30,77
2010-07-01,65
2010-07-02,38
2010-07-03,22
2010-07-04,23
2010-07-05,35
2010-07-06,36
2010-07-07,43
2010-07-08,51
2010-07-09,34
2010-07-10,45
2010-07-11,21
2010-07-12,79
2010-07-13,46
2010-07-14,50
2010-07-15,100
2010-07-16,93
2010-07-17,36
2010-07-18,31
2010-07-19,68
2010-07-20,85
2010-07-21,43
2010-07-22,44
2010-07-23,46
2010-07-24,25
2010-07-25,5
2010-07-26,40
2010-07-27,64
2010-07-28,58
2010-07-29,47
2010-07-30,62
2010-07-31,15
2010-08-01,84
2010-08-02,74
2010-08-03,67
2010-08-04,34
2010-08-05,79
2010-08-06,62
2010-08-07,48
2010-08-08,21
2010-08-09,63
2010-08-10,76
2010-08-11,68
2010-08-12,49
2010-08-13,93
2010-08-14,41
2010-08-15,48
2010-08-16,59
2010-08-17,67
2010-08-18,48
2010-08-19,50
2010-08-20,31
2010-08-21,27
2010-08-22,46
2010-08-23,48
2010-08-24,56
2010-08-25,100
2010-08-26,63
2010-08-27,30
2010-08-28,13
2010-08-29,20
2010-08-30,24
2010-08-31,69
2010-09-01,55
2010-09-02,40
2010-09-03,55
2010-09-04,22
2010-09-05,12
2010-09-06,36
2010-09-07,59
2010-09-08,43
2010-09-09,66
2010-09-10,37
2010-09-11,27
2010-09-12,47
2010-09-13,99
2010-09-14,69
2010-09-15,81
2010-09-16,43
2010-09-17,58
2010-09-18,33
2010-09-19,43
2010-09-20,78
2010-09-21,62
2010-09-22,100
2010-09-23,65
2010-09-24,90
2010-09-25,16
2010-09-26,26
2010-09-27,68
2010-09-28,75
2010-09-29,65
2010-09-30,65
2010-10-01,50
2010-10-02,19
2010-10-03,28
2010-10-04,27
2010-10-05,40
2010-10-06,62
2010-10-07,92
2010-10-08,69
2010-10-09,29
2010-10-10,69
2010-10-11,85
2010-10-12,32
2010-10-13,93
2010-10-14,40
2010-10-15,50
2010-10-16,24
2010-10-17,19
2010-10-18,44
2010-10-19,100
2010-10-20,79
2010-10-21,71
2010-10-22,46
2010-10-23,38
2010-10-24,32
2010-10-25,52
2010-10-26,60
2010-10-27,66
2010-10-28,49
2010-10-29,64
2010-10-30,24
2010-10-31,14
2010-11-01,56
2010-11-02,56
2010-11-03,67
2010-11-04,71
2010-11-05,71
2010-11-06,56
2010-11-07,40
2010-11-08,55
2010-11-09,49
2010-11-10,80
2010-11-11,84
2010-11-12,72
2010-11-13,46
2010-11-14,35
2010-11-15,75
2010-11-16,80
2010-11-17,71
2010-11-18,100
2010-11-19,76
2010-11-20,25
2010-11-21,25
2010-11-22,64
2010-11-23,61
2010-11-24,23
2010-11-25,46
2010-11-26,38
2010-11-27,35
2010-11-28,30
2010-11-29,55
2010-11-30,55
2010-12-01,69
2010-12-02,60
2010-12-03,33
2010-12-04,38
2010-12-05,24
2010-12-06,59
2010-12-07,49
2010-12-08,64
2010-12-09,70
2010-12-10,55
2010-12-11,63
2010-12-12,72
2010-12-13,70
2010-12-14,90
2010-12-15,100
2010-12-16,88
2010-12-17,73
2010-12-18,70
2010-12-19,36
2010-12-20,38
2010-12-21,49
2010-12-22,60
2010-12-23,52
2010-12-24,32
2010-12-25,13
2010-12-26,22
2010-12-27,46
2010-12-28,37
2010-12-29,57
2010-12-30,54
2010-12-31,33
2011-01-01,16
2011-01-02,13
2011-01-03,76
2011-01-04,65
2011-01-05,47
2011-01-06,70
2011-01-07,82
2011-01-08,18
2011-01-09,30
2011-01-10,49
2011-01-11,75
2011-01-12,62
2011-01-13,67
2011-01-14,57
2011-01-15,33
2011-01-16,21
2011-01-17,46
2011-01-18,67
2011-01-19,100
2011-01-20,76
2011-01-21,47
2011-01-22,35
2011-01-23,41
2011-01-24,60
2011-01-25,36
2011-01-26,54
2011-01-27,64
2011-01-28,36
2011-01-29,37
2011-01-30,26
2011-01-31,58
2011-02-01,95
2011-02-02,77
2011-02-03,95
2011-02-04,46
2011-02-05,30
2011-02-06,62
2011-02-07,66
2011-02-08,81
2011-02-09,76
2011-02-10,56
2011-02-11,62
2011-02-12,50
2011-02-13,37
2011-02-14,67
2011-02-15,71
2011-02-16,100
2011-02-17,82
2011-02-18,51
2011-02-19,36
2011-02-20,18
2011-02-21,59
2011-02-22,80
2011-02-23,87
2011-02-24,75
2011-02-25,75
2011-02-26,45
2011-02-27,36
2011-02-28,87
2011-03-01,88
2011-03-02,64
2011-03-03,100
2011-03-04,95
2011-03-05,37
2011-03-06,37
2011-03-07,68
2011-03-08,99
2011-03-09,71
2011-03-10,75
2011-03-11,75
2011-03-12,45
2011-03-13,20
2011-03-14,44
2011-03-15,68
2011-03-16,82
2011-03-17,66
2011-03-18,59
2011-03-19,19
2011-03-20,28
2011-03-21,68
2011-03-22,47
2011-03-23,68
2011-03-24,71
2011-03-25,75
2011-03-26,55
2011-03-27,18
2011-03-28,81
2011-03-29,73
2011-03-30,60
2011-03-31,67
2011-04-01,72
2011-04-02,52
2011-04-03,28
2011-04-04,39
2011-04-05,63
2011-04-06,46
2011-04-07,67
2011-04-08,66
2011-04-09,32
2011-04-10,20
2011-04-11,36
2011-04-12,59
2011-04-13,94
