date,daily_data,monthly_data,adjusted_data
2010-01-01,20,0.37,7.4
2010-01-02,25,0.37,9.25
2010-01-03,25,0.37,9.25
2010-01-04,49,0.37,18.13
2010-01-05,39,0.37,14.43
2010-01-06,34,0.37,12.58
2010-01-07,53,0.37,19.61
2010-01-08,48,0.37,17.759999999999998
2010-01-09,31,0.37,11.47
2010-01-10,36,0.37,13.32
2010-01-11,63,0.37,23.31
2010-01-12,62,0.37,22.94
2010-01-13,60,0.37,22.2
2010-01-14,49,0.37,18.13
2010-01-15,37,0.37,13.69
2010-01-16,52,0.37,19.24
2010-01-17,20,0.37,7.4
2010-01-18,27,0.37,9.99
2010-01-19,43,0.37,15.91
2010-01-20,56,0.37,20.72
2010-01-21,91,0.37,33.67
2010-01-22,100,0.37,37.0
2010-01-23,46,0.37,17.02
2010-01-24,35,0.37,12.95
2010-01-25,63,0.37,23.31
2010-01-26,71,0.37,26.27
2010-01-27,77,0.37,28.49
2010-01-28,35,0.37,12.95
2010-01-29,56,0.37,20.72
2010-01-30,34,0.37,12.58
2010-01-31,11,0.37,4.07
2010-02-01,74,0.34,25.16
2010-02-02,60,0.34,20.400000000000002
2010-02-03,84,0.34,28.560000000000002
2010-02-04,65,0.34,22.1
2010-02-05,68,0.34,23.12
2010-02-06,75,0.34,25.500000000000004
2010-02-07,89,0.34,30.26
2010-02-08,54,0.34,18.360000000000003
2010-02-09,52,0.34,17.68
2010-02-10,100,0.34,34.0
2010-02-11,28,0.34,9.520000000000001
2010-02-12,66,0.34,22.44
2010-02-13,84,0.34,28.560000000000002
2010-02-14,50,0.34,17.0
2010-02-15,88,0.34,29.92
2010-02-16,93,0.34,31.62
2010-02-17,66,0.34,22.44
2010-02-18,75,0.34,25.500000000000004
2010-02-19,61,0.34,20.740000000000002
2010-02-20,24,0.34,8.16
2010-02-21,71,0.34,24.14
2010-02-22,61,0.34,20.740000000000002
2010-02-23,58,0.34,19.720000000000002
2010-02-24,91,0.34,30.94
2010-02-25,80,0.34,27.200000000000003
2010-02-26,55,0.34,18.700000000000003
2010-02-27,29,0.34,9.860000000000001
2010-02-28,30,0.34,10.200000000000001
2010-03-01,74,0.29,21.459999999999997
2010-03-02,73,0.29,21.169999999999998
2010-03-03,77,0.29,22.33
2010-03-04,44,0.29,12.76
2010-03-05,100,0.29,28.999999999999996
2010-03-06,65,0.29,18.849999999999998
2010-03-07,42,0.29,12.18
2010-03-08,56,0.29,16.24
2010-03-09,51,0.29,14.79
2010-03-10,66,0.29,19.139999999999997
2010-03-11,55,0.29,15.95
2010-03-12,86,0.29,24.939999999999998
2010-03-13,34,0.29,9.86
2010-03-14,17,0.29,4.93
2010-03-15,63,0.29,18.27
2010-03-16,76,0.29,22.04
2010-03-17,49,0.29,14.209999999999999
2010-03-18,54,0.29,15.659999999999998
2010-03-19,35,0.29,10.149999999999999
2010-03-20,37,0.29,10.729999999999999
2010-03-21,29,0.29,8.41
2010-03-22,66,0.29,19.139999999999997
2010-03-23,42,0.29,12.18
2010-03-24,51,0.29,14.79
2010-03-25,74,0.29,21.459999999999997
2010-03-26,63,0.29,18.27
2010-03-27,12,0.29,3.4799999999999995
2010-03-28,29,0.29,8.41
2010-03-29,39,0.29,11.309999999999999
2010-03-30,70,0.29,20.299999999999997
2010-03-31,45,0.29,13.049999999999999
