DATE,GDPC1
2010-01-01,15415.145
2010-04-01,15557.277
2010-07-01,15671.967
2010-10-01,15750.625
2011-01-01,15712.754
2011-04-01,15825.096
2011-07-01,15820.7
2011-10-01,16004.107
2012-01-01,16129.418
2012-04-01,16198.807
2012-07-01,16220.667
2012-10-01,16239.138
2013-01-01,16382.964
2013-04-01,16403.18
2013-07-01,16531.685
2013-10-01,16663.649
2014-01-01,16616.54
2014-04-01,16841.475
2014-07-01,17047.098
2014-10-01,17143.038
2015-01-01,17305.752
2015-04-01,17422.845
2015-07-01,17486.021
2015-10-01,17514.062
2016-01-01,17613.264
2016-04-01,17668.203
2016-07-01,17764.388
2016-10-01,17876.179
2017-01-01,17977.299
2017-04-01,18054.052
2017-07-01,18185.636
2017-10-01,18359.432
2018-01-01,18530.483
2018-04-01,18654.383
2018-07-01,18752.355
2018-10-01,18813.923
2019-01-01,18950.347
2019-04-01,19020.599
2019-07-01,19141.744
2019-10-01,19253.959
2020-01-01,19010.848
2020-04-01,17302.511
2020-07-01,18596.521
2020-10-01,18794.426
2021-01-01,19087.568
